Airline,Departure,Arrival,Price,Duration,Flight_num
قطر ایرویز,"04:45
تهران (IKA)","13:20
اسلو (OSL)","89,232,000",8 ساعت و 35 دقیقه,قطر ایرویز 491
قطر ایرویز,"22:50
تهران (IKA)","13:20
روز بعد
اسلو (OSL)","89,232,000",14 ساعت و 30 دقیقه,قطر ایرویز 499
ترکیش ایرلاینز,"07:55
تهران (IKA)","10:35
اسلو (OSL)","100,564,000",26 ساعت و 40 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"06:30
تهران (IKA)","10:35
اسلو (OSL)","100,564,000",28 ساعت و 5 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"06:30
تهران (IKA)","16:25
اسلو (OSL)","100,564,000",9 ساعت و 55 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"07:55
تهران (IKA)","16:25
اسلو (OSL)","100,564,000",8 ساعت و 30 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"05:30
تهران (IKA)","16:25
اسلو (OSL)","105,574,000",10 ساعت و 55 دقیقه,ترکیش ایرلاینز 7689
قطر ایرویز,"22:50
تهران (IKA)","16:45
روز بعد
اسلو (OSL)","107,533,000",17 ساعت و 55 دقیقه,قطر ایرویز 499
ترکیش ایرلاینز,"03:15
تهران (IKA)","16:25
اسلو (OSL)","114,282,000",13 ساعت و 10 دقیقه,ترکیش ایرلاینز 875
ترکیش ایرلاینز,"02:05
تهران (IKA)","16:25
اسلو (OSL)","114,282,000",14 ساعت و 20 دقیقه,ترکیش ایرلاینز 881
هواپیمایی امارات,"00:50
تهران (IKA)","12:00
اسلو (OSL)","129,567,000",11 ساعت و 10 دقیقه,هواپیمایی امارات 2491
قطر ایرویز,"22:50
تهران (IKA)","13:40
روز بعد
اسلو (OSL)","134,971,000",14 ساعت و 50 دقیقه,قطر ایرویز 499
قطر ایرویز,"04:45
تهران (IKA)","18:15
اسلو (OSL)","134,971,000",13 ساعت و 30 دقیقه,قطر ایرویز 491
قطر ایرویز,"04:45
تهران (IKA)","22:00
اسلو (OSL)","134,971,000",17 ساعت و 15 دقیقه,قطر ایرویز 491
قطر ایرویز,"22:50
تهران (IKA)","16:45
روز بعد
اسلو (OSL)","134,971,000",17 ساعت و 55 دقیقه,قطر ایرویز 499
قطر ایرویز,"22:50
تهران (IKA)","09:15
روز بعد
اسلو (OSL)","134,971,000",10 ساعت و 25 دقیقه,قطر ایرویز 499
قطر ایرویز,"22:50
تهران (IKA)","13:00
روز بعد
اسلو (OSL)","134,971,000",14 ساعت و 10 دقیقه,قطر ایرویز 499
قطر ایرویز,"04:45
تهران (IKA)","16:45
اسلو (OSL)","134,971,000",12 ساعت,قطر ایرویز 491
قطر ایرویز,"04:45
تهران (IKA)","19:30
اسلو (OSL)","134,971,000",14 ساعت و 45 دقیقه,قطر ایرویز 491
قطر ایرویز,"22:50
تهران (IKA)","16:35
روز بعد
اسلو (OSL)","152,989,000",17 ساعت و 45 دقیقه,قطر ایرویز 499
قطر ایرویز,"04:45
تهران (IKA)","20:50
اسلو (OSL)","170,335,000",16 ساعت و 5 دقیقه,قطر ایرویز 491
قطر ایرویز,"22:50
تهران (IKA)","10:25
روز بعد
اسلو (OSL)","172,881,000",11 ساعت و 35 دقیقه,قطر ایرویز 499
قطر ایرویز,"22:50
تهران (IKA)","08:45
روز بعد
اسلو (OSL)","172,881,000",9 ساعت و 55 دقیقه,قطر ایرویز 499
قطر ایرویز,"22:50
تهران (IKA)","16:35
روز بعد
اسلو (OSL)","172,881,000",17 ساعت و 45 دقیقه,قطر ایرویز 499
قطر ایرویز,"04:45
تهران (IKA)","16:35
اسلو (OSL)","197,117,000",11 ساعت و 50 دقیقه,قطر ایرویز 491
هواپیمایی اتریشی,"03:45
تهران (IKA)","19:30
اسلو (OSL)","202,185,000",15 ساعت و 45 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","13:40
اسلو (OSL)","202,185,000",9 ساعت و 55 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","18:15
اسلو (OSL)","202,185,000",14 ساعت و 30 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","16:45
اسلو (OSL)","202,185,000",13 ساعت,هواپیمایی اتریشی 872
